
(31.10.2024 16:48 PM)
(3 amostras, de cada letra: W, S e L)
Erro inicial(ANTES DO TREINAMENTO): 7.429170899647493
MLP.js:366 Epoch 364, Erro total: 0.05534994292498605
MLP.js:366 Epoch 365, Erro total: 0.055021067470036294
MLP.js:366 Epoch 366, Erro total: 0.05469504778128112
MLP.js:366 Epoch 367, Erro total: 0.05437185144912133
MLP.js:366 Epoch 368, Erro total: 0.05405144651625433
MLP.js:366 Epoch 369, Erro total: 0.053733801470203034
MLP.js:366 Epoch 370, Erro total: 0.05341888523598774
MLP.js:366 Epoch 371, Erro total: 0.05310666716893658
MLP.js:366 Epoch 372, Erro total: 0.052797117047632756
MLP.js:366 Epoch 373, Erro total: 0.05249020506699503
MLP.js:366 Epoch 374, Erro total: 0.05218590183148819
MLP.js:366 Epoch 375, Erro total: 0.051884178348461804
MLP.js:366 Epoch 376, Erro total: 0.051585006021613394
MLP.js:366 Epoch 377, Erro total: 0.05128835664457461
MLP.js:366 Epoch 378, Erro total: 0.05099420239461599
MLP.js:366 Epoch 379, Erro total: 0.050702515826470215
MLP.js:366 Epoch 380, Erro total: 0.050413269866269046
MLP.js:366 Epoch 381, Erro total: 0.050126437805593234
MLP.js:366 Epoch 382, Erro total: 0.04984199329563188
MLP.js:366 Epoch 383, Erro total: 0.04955991034144984
MLP.js:366 Epoch 384, Erro total: 0.04928016329636026
MLP.js:366 Epoch 385, Erro total: 0.049002726856400475
MLP.js:366 Epoch 386, Erro total: 0.048727576054909086
MLP.js:366 Epoch 387, Erro total: 0.048454686257201465
MLP.js:366 Epoch 388, Erro total: 0.04818403315534323
MLP.js:366 Epoch 389, Erro total: 0.04791559276301705
MLP.js:366 Epoch 390, Erro total: 0.04764934141048452
MLP.js:366 Epoch 391, Erro total: 0.04738525573963709
MLP.js:366 Epoch 392, Erro total: 0.04712331269913764
MLP.js:366 Epoch 393, Erro total: 0.04686348953964868
MLP.js:366 Epoch 394, Erro total: 0.04660576380914625
MLP.js:366 Epoch 395, Erro total: 0.04635011334831814
MLP.js:366 Epoch 396, Erro total: 0.04609651628604396
MLP.js:366 Epoch 397, Erro total: 0.04584495103495554
MLP.js:366 Epoch 398, Erro total: 0.04559539628707659
MLP.js:366 Epoch 399, Erro total: 0.045347831009539374
MLP.js:366 Epoch 400, Erro total: 0.045102234440377524
MLP.js:366 Epoch 401, Erro total: 0.04485858608439243
MLP.js:366 Epoch 402, Erro total: 0.04461686570909319
MLP.js:366 Epoch 403, Erro total: 0.044377053340707275
MLP.js:366 Epoch 404, Erro total: 0.0441391292602613
MLP.js:366 Epoch 405, Erro total: 0.043903073999730265
MLP.js:366 Epoch 406, Erro total: 0.04366886833825383
MLP.js:366 Epoch 407, Erro total: 0.043436493298418796
MLP.js:366 Epoch 408, Erro total: 0.04320593014260564
MLP.js:366 Epoch 409, Erro total: 0.04297716036939852
MLP.js:366 Epoch 410, Erro total: 0.042750165710057346
MLP.js:366 Epoch 411, Erro total: 0.0425249281250505
MLP.js:366 Epoch 412, Erro total: 0.04230142980064736
MLP.js:366 Epoch 413, Erro total: 0.04207965314556919
MLP.js:366 Epoch 414, Erro total: 0.04185958078769736
MLP.js:366 Epoch 415, Erro total: 0.04164119557083762
MLP.js:366 Epoch 416, Erro total: 0.04142448055153984
MLP.js:366 Epoch 417, Erro total: 0.041209418995971574
MLP.js:366 Epoch 418, Erro total: 0.04099599437684452
MLP.js:366 Epoch 419, Erro total: 0.040784190370393596
MLP.js:366 Epoch 420, Erro total: 0.040573990853405885
MLP.js:366 Epoch 421, Erro total: 0.0403653799003011
MLP.js:366 Epoch 422, Erro total: 0.04015834178025969
MLP.js:366 Epoch 423, Erro total: 0.039952860954400156
MLP.js:366 Epoch 424, Erro total: 0.03974892207300291
MLP.js:366 Epoch 425, Erro total: 0.039546509972781
MLP.js:366 Epoch 426, Erro total: 0.03934560967419579
MLP.js:366 Epoch 427, Erro total: 0.03914620637881767
MLP.js:366 Epoch 428, Erro total: 0.03894828546673028
MLP.js:366 Epoch 429, Erro total: 0.03875183249397763
MLP.js:366 Epoch 430, Erro total: 0.03855683319005377
MLP.js:366 Epoch 431, Erro total: 0.03836327345543332
MLP.js:366 Epoch 432, Erro total: 0.03817113935914254
MLP.js:366 Epoch 433, Erro total: 0.03798041713637114
MLP.js:366 Epoch 434, Erro total: 0.03779109318612164
MLP.js:366 Epoch 435, Erro total: 0.03760315406889866
MLP.js:366 Epoch 436, Erro total: 0.03741658650443478
MLP.js:366 Epoch 437, Erro total: 0.03723137736945376
MLP.js:366 Epoch 438, Erro total: 0.03704751369547013
MLP.js:366 Epoch 439, Erro total: 0.03686498266662405
MLP.js:366 Epoch 440, Erro total: 0.036683771617551646
MLP.js:366 Epoch 441, Erro total: 0.03650386803128901
MLP.js:366 Epoch 442, Erro total: 0.036325259537210455
MLP.js:366 Epoch 443, Erro total: 0.03614793390899971
MLP.js:366 Epoch 444, Erro total: 0.03597187906265323
MLP.js:366 Epoch 445, Erro total: 0.03579708305451603
MLP.js:366 Epoch 446, Erro total: 0.035623534079348255
MLP.js:366 Epoch 447, Erro total: 0.03545122046842271
MLP.js:366 Epoch 448, Erro total: 0.035280130687652844
MLP.js:366 Epoch 449, Erro total: 0.035110253335749804
MLP.js:366 Epoch 450, Erro total: 0.034941577142409336
MLP.js:366 Epoch 451, Erro total: 0.034774090966526616
MLP.js:366 Epoch 452, Erro total: 0.03460778379443942
MLP.js:366 Epoch 453, Erro total: 0.03444264473819915
MLP.js:366 Epoch 454, Erro total: 0.03427866303386861
MLP.js:366 Epoch 455, Erro total: 0.034115828039846405
MLP.js:366 Epoch 456, Erro total: 0.0339541292352177
